Domain;Action;Beta;ValidationPercent;TestdataPercent;TrainingdataPercent;NumProblems;NumusefulActions;NumuselessActions;Vars;Clauses;Body;TpTraining;TnTraining;FpTraining;FnTraining;RecallTraining;PrecisionTraining;TpTest;TnTest;FpTest;FnTest;RecallTest;PrecisionTest;TpValidation;TnValidation;FpValidation;FnValidation;RecallValidation;PrecisionValidation;Hypothesis;SecondsElapsed;Date
domainfiles;move_b_to_b;44;0;0.3;1;35;565;18090;8;8;8;0;14458;156;331;0;0;0;25729;128;423;0;0;0;0;0;0;0;0;move_b_to_b(A,B,C,D):-init_on(B,C,D),init_on(A,C,D).;74.7833;17/11/2021 21:05
domainfiles;move_b_to_b;44;0;0.3;1;35;565;18090;8;8;8;3;14519;95;328;0.009063;0.030612;5;25768;89;418;0.01182;0.053191;0;0;0;0;0;0;move_b_to_b(A,B,C,D):-goal_on(B,A,D),init_on(A,C,D).;76.7041;17/11/2021 21:05
domainfiles;move_b_to_b;44;0;0.3;1;35;565;18090;8;8;8;12;14181;433;319;0.036254;0.026966;12;25393;464;411;0.028369;0.02521;0;0;0;0;0;0;move_b_to_b(A,B,C,D):-init_ontable(C,D),goal_on(A,B,D).;81.93302;17/11/2021 21:05
domainfiles;move_b_to_b;44;0;0.3;1;35;565;18090;8;8;8;23;14192;422;308;0.069486;0.051685;22;25403;454;401;0.052009;0.046218;0;0;0;0;0;0;move_b_to_b(A,B,C,D):-init_clear(C,D),goal_on(A,B,D).;86.95108;17/11/2021 21:05
domainfiles;move_b_to_b;44;0;0.3;1;35;565;18090;8;8;8;36;14550;64;295;0.108761;0.36;46;25809;48;377;0.108747;0.489362;0;0;0;0;0;0;move_b_to_b(A,B,C,D):-goal_on(A,C,D),init_on(A,B,D).;94.16227;17/11/2021 21:05
domainfiles;move_b_to_b;44;0;0.3;1;35;565;18090;8;8;8;59;14228;386;272;0.178248;0.132584;62;25443;414;361;0.146572;0.130252;0;0;0;0;0;0;move_b_to_b(A,B,C,D):-goal_on(A,C,D),init_ontable(B,D).;96.76391;17/11/2021 21:05
domainfiles;move_b_to_b;44;0;0.3;1;35;565;18090;8;8;8;71;14240;374;260;0.214502;0.159551;76;25457;400;347;0.179669;0.159664;0;0;0;0;0;0;move_b_to_b(A,B,C,D):-goal_on(A,C,D),init_clear(B,D).;98.05539;17/11/2021 21:05
domainfiles;move_b_to_b;44;0;0.3;1;35;565;18090;8;8;8;125;14335;279;206;0.377644;0.309406;108;25555;302;315;0.255319;0.263415;0;0;0;0;0;0;move_b_to_b(A,B,C,D):-init_clear(C,D),init_on(A,B,D).;126.67206;17/11/2021 21:05
domainfiles;move_b_to_b;44;0;0.3;1;35;565;18090;8;8;8;145;13973;641;186;0.438066;0.184478;194;24909;948;229;0.458629;0.169877;0;0;0;0;0;0;move_b_to_b(A,B,C,D):-init_on(G,F,D),init_on(C,F,D),init_on(A,B,D),init_on(G,E,D),init_on(C,E,D).;9992.253;17/11/2021 21:05
