Domain;Action;Beta;ValidationPercent;TestdataPercent;TrainingdataPercent;NumProblems;NumusefulActions;NumuselessActions;Vars;Clauses;Body;TpTraining;TnTraining;FpTraining;FnTraining;RecallTraining;PrecisionTraining;TpTest;TnTest;FpTest;FnTest;RecallTest;PrecisionTest;TpValidation;TnValidation;FpValidation;FnValidation;RecallValidation;PrecisionValidation
blocksworld;move_b_to_t;2;0;0.2;0.5;20;347;12064;5;8;7;66;1080;24;0;1;0.733333;63;1472;30;0;1;0.677419;0;0;0;0;0;0
blocksworld;move_b_to_t;2;0;0.2;0.75;30;562;18641;5;8;7;103;1658;37;0;1;0.735714;63;1472;30;0;1;0.677419;0;0;0;0;0;0
blocksworld;move_b_to_t;2;0;0.2;1;40;735;25786;5;9;7;138;2269;53;0;1;0.722513;63;1472;30;0;1;0.677419;0;0;0;0;0;0
blocksworld;move_b_to_t;2;0;0.2;0.25;10;169;5872;5;9;7;36;526;10;0;1;0.782609;63;1472;30;0;1;0.677419;0;0;0;0;0;0
blocksworld;move_b_to_t;2;0;0.2;0.5;20;347;12064;5;9;7;66;1080;24;0;1;0.733333;63;1472;30;0;1;0.677419;0;0;0;0;0;0
blocksworld;move_b_to_t;2;0;0.2;0.75;30;562;18641;5;9;7;103;1658;37;0;1;0.735714;63;1472;30;0;1;0.677419;0;0;0;0;0;0
blocksworld;move_b_to_t;2;0;0.2;1;40;735;25786;5;1;8;138;2269;53;0;1;0.722513;63;1472;30;0;1;0.677419;0;0;0;0;0;0
blocksworld;move_b_to_t;2;0;0.2;0.25;10;169;5872;5;1;8;36;526;10;0;1;0.782609;63;1472;30;0;1;0.677419;0;0;0;0;0;0
blocksworld;move_b_to_t;2;0;0.2;0.5;20;347;12064;5;1;8;66;1080;24;0;1;0.733333;63;1472;30;0;1;0.677419;0;0;0;0;0;0
blocksworld;move_b_to_t;2;0;0.2;0.75;30;562;18641;5;1;8;103;1658;37;0;1;0.735714;63;1472;30;0;1;0.677419;0;0;0;0;0;0
blocksworld;move_b_to_t;2;0;0.2;1;40;735;25786;6;2;9;138;2269;53;0;1;0.722513;63;1472;30;0;1;0.677419;0;0;0;0;0;0
blocksworld;move_b_to_t;2;0;0.2;0.25;10;169;5872;6;2;9;36;526;10;0;1;0.782609;63;1472;30;0;1;0.677419;0;0;0;0;0;0
blocksworld;move_b_to_t;2;0;0.2;0.5;20;347;12064;6;2;9;66;1080;24;0;1;0.733333;63;1472;30;0;1;0.677419;0;0;0;0;0;0
blocksworld;move_b_to_t;2;0;0.2;0.75;30;562;18641;6;2;9;103;1658;37;0;1;0.735714;63;1472;30;0;1;0.677419;0;0;0;0;0;0
blocksworld;move_t_to_b;2;0;0.2;1;40;735;25786;4;6;5;150;2257;51;2;0.986842;0.746269;63;1472;30;0;1;0.677419;0;0;0;0;0;0
blocksworld;move_t_to_b;2;0;0.2;0.25;10;169;5872;4;6;5;37;523;10;2;0.948718;0.787234;63;1472;30;0;1;0.677419;0;0;0;0;0;0
blocksworld;move_t_to_b;2;0;0.2;0.5;20;347;12064;4;6;5;73;1073;22;2;0.973333;0.768421;63;1472;30;0;1;0.677419;0;0;0;0;0;0
blocksworld;move_t_to_b;2;0;0.2;0.75;30;562;18641;4;6;5;108;1653;35;2;0.981818;0.755245;63;1472;30;0;1;0.677419;0;0;0;0;0;0
blocksworld;move_t_to_b;2;0;0.2;1;40;735;25786;4;7;6;150;2257;51;2;0.986842;0.746269;63;1472;30;0;1;0.677419;0;0;0;0;0;0
blocksworld;move_t_to_b;2;0;0.2;0.25;10;169;5872;4;7;6;37;523;10;2;0.948718;0.787234;63;1472;30;0;1;0.677419;0;0;0;0;0;0
blocksworld;move_t_to_b;2;0;0.2;0.5;20;347;12064;4;7;6;73;1073;22;2;0.973333;0.768421;63;1472;30;0;1;0.677419;0;0;0;0;0;0
blocksworld;move_t_to_b;2;0;0.2;0.75;30;562;18641;4;7;6;108;1653;35;2;0.981818;0.755245;63;1472;30;0;1;0.677419;0;0;0;0;0;0
blocksworld;move_t_to_b;2;0;0.2;1;40;735;25786;5;8;7;149;2257;51;3;0.980263;0.745;63;1472;30;0;1;0.677419;0;0;0;0;0;0
blocksworld;move_t_to_b;2;0;0.2;0.25;10;169;5872;5;8;7;37;523;10;2;0.948718;0.787234;63;1472;30;0;1;0.677419;0;0;0;0;0;0
blocksworld;move_t_to_b;2;0;0.2;0.5;20;347;12064;5;8;7;73;1073;22;2;0.973333;0.768421;63;1472;30;0;1;0.677419;0;0;0;0;0;0
blocksworld;move_t_to_b;2;0;0.2;0.75;30;562;18641;5;8;7;108;1653;35;2;0.981818;0.755245;63;1472;30;0;1;0.677419;0;0;0;0;0;0
blocksworld;move_t_to_b;2;0;0.2;1;40;735;25786;5;9;7;150;2257;51;2;0.986842;0.746269;63;1472;30;0;1;0.677419;0;0;0;0;0;0
blocksworld;move_t_to_b;2;0;0.2;0.25;10;169;5872;5;9;7;37;523;10;2;0.948718;0.787234;63;1472;30;0;1;0.677419;0;0;0;0;0;0
blocksworld;move_t_to_b;2;0;0.2;0.5;20;347;12064;5;9;7;73;1073;22;2;0.973333;0.768421;63;1472;30;0;1;0.677419;0;0;0;0;0;0
blocksworld;move_t_to_b;2;0;0.2;0.75;30;562;18641;5;9;7;108;1653;35;2;0.981818;0.755245;63;1472;30;0;1;0.677419;0;0;0;0;0;0
blocksworld;move_t_to_b;2;0;0.2;1;40;735;25786;5;1;8;150;2257;51;2;0.986842;0.746269;63;1472;30;0;1;0.677419;0;0;0;0;0;0
blocksworld;move_t_to_b;2;0;0.2;0.25;10;169;5872;5;1;8;37;523;10;2;0.948718;0.787234;63;1472;30;0;1;0.677419;0;0;0;0;0;0
blocksworld;move_t_to_b;2;0;0.2;0.5;20;347;12064;5;1;8;73;1073;22;2;0.973333;0.768421;63;1472;30;0;1;0.677419;0;0;0;0;0;0
blocksworld;move_t_to_b;2;0;0.2;0.75;30;562;18641;5;1;8;108;1653;35;2;0.981818;0.755245;63;1472;30;0;1;0.677419;0;0;0;0;0;0
blocksworld;move_t_to_b;2;0;0.2;1;40;735;25786;6;2;9;150;2257;51;2;0.986842;0.746269;63;1472;30;0;1;0.677419;0;0;0;0;0;0
blocksworld;move_t_to_b;2;0;0.2;0.25;10;169;5872;6;2;9;37;523;10;2;0.948718;0.787234;63;1472;30;0;1;0.677419;0;0;0;0;0;0
blocksworld;move_t_to_b;2;0;0.2;0.5;20;347;12064;6;2;9;72;1073;22;3;0.96;0.765957;63;1472;30;0;1;0.677419;0;0;0;0;0;0
blocksworld;move_t_to_b;2;0;0.2;0.75;30;562;18641;6;2;9;108;1653;35;2;0.981818;0.755245;63;1472;30;0;1;0.677419;0;0;0;0;0;0
blocksworld;move_b_to_b;2;0;0.2;1;40;735;25785;5;6;5;256;19918;1238;188;0.576577;0.171352;87;18731;584;223;0.280645;0.129657;0;0;0;0;0;0
blocksworld;move_b_to_b;2;0;0.2;0.25;10;169;5871;6;5;5;40;4715;88;53;0.430108;0.3125;81;19120;195;229;0.26129;0.293478;0;0;0;0;0;0
blocksworld;move_b_to_b;2;0;0.2;0.5;20;347;12063;5;5;6;94;9589;276;111;0.458537;0.254054;92;19050;265;218;0.296774;0.257703;0;0;0;0;0;0
blocksworld;move_b_to_b;2;0;0.2;0.75;30;562;18640;6;5;5;206;14387;871;142;0.591954;0.191272;131;18702;613;179;0.422581;0.176075;0;0;0;0;0;0
blocksworld;move_b_to_b;2;0;0.2;1;40;735;25785;5;6;6;258;19959;1197;186;0.581081;0.17732;100;18755;560;210;0.322581;0.151515;0;0;0;0;0;0
