 174683 3818.0m  64.8m  42.8m 133.3   0.4    2021-11-12T12:32:34+01:00
 174666 3459.4m  57.9m  42.9m   0.0   0.4    2021-11-12T12:32:34+01:00
    283   62.2m  21.2m  20.7m   0.0   0.1    2021-11-12T12:32:34+01:00

    PID    VIRT    RES    SHR  %CPU  %MEM    2021-11-12T12:33:05+01:00
 174812  167.0m 148.8m  13.3m 100.0   0.9    2021-11-12T12:33:05+01:00
 174813  156.4m 138.4m  13.2m 100.0   0.9    2021-11-12T12:33:05+01:00
 174746   22.2g 125.6m  52.9m   0.0   0.8    2021-11-12T12:33:05+01:00
 173024 5009.0m 121.8m  58.8m   0.0   0.8    2021-11-12T12:33:05+01:00
 173038 4169.0m 112.4m  56.2m   0.0   0.7    2021-11-12T12:33:05+01:00

    PID    VIRT    RES    SHR  %CPU  %MEM    2021-11-12T12:33:35+01:00
 174746   22.3g 161.4m  56.2m   0.0   1.0    2021-11-12T12:33:35+01:00
 173024 5249.7m 122.1m  58.8m   0.0   0.8    2021-11-12T12:33:35+01:00
 173038 4385.5m 112.5m  56.2m   0.0   0.7    2021-11-12T12:33:35+01:00
    283   62.2m  21.2m  20.7m   0.0   0.1    2021-11-12T12:33:35+01:00
      1  162.2m   6.7m   4.7m   0.0   0.0    2021-11-12T12:33:35+01:00

    PID    VIRT    RES    SHR  %CPU  %MEM    2021-11-12T12:34:05+01:00
    283   62.2m  21.2m  20.7m   0.0   0.1    2021-11-12T12:34:05+01:00
      1  162.2m   6.7m   4.7m   0.0   0.0    2021-11-12T12:34:05+01:00
    367  324.4m   6.7m   5.5m   0.0   0.0    2021-11-12T12:34:05+01:00
 172375    8.8m   5.8m   3.7m   0.0   0.0    2021-11-12T12:34:05+01:00
 172337    8.8m   5.8m   3.7m   0.0   0.0    2021-11-12T12:34:05+01:00

    PID    VIRT    RES    SHR  %CPU  %MEM    2021-11-12T12:34:35+01:00
 175804  388.4m 298.4m  13.7m 133.3   1.9    2021-11-12T12:34:35+01:00
 175730   22.3g 173.0m  56.3m   0.0   1.1    2021-11-12T12:34:35+01:00
 175802  167.0m 148.0m  13.3m 100.0   0.9    2021-11-12T12:34:35+01:00
 175803  156.4m 137.7m  13.3m 100.0   0.9    2021-11-12T12:34:35+01:00
 175776 4033.5m 132.5m  27.4m   0.0   0.8    2021-11-12T12:34:35+01:00

    PID    VIRT    RES    SHR  %CPU  %MEM    2021-11-12T12:35:05+01:00
 175803 3054.4m   2.9g  13.4m 100.0  18.4    2021-11-12T12:35:05+01:00
 175802 1375.1m   1.3g  13.3m 100.0   8.2    2021-11-12T12:35:05+01:00
 175804  390.6m 301.2m  13.7m 126.7   1.9    2021-11-12T12:35:05+01:00
 175730   22.3g 172.2m  56.3m   0.0   1.1    2021-11-12T12:35:05+01:00
 175801  231.7m 141.2m  13.7m 153.3   0.9    2021-11-12T12:35:05+01:00

    PID    VIRT    RES    SHR  %CPU  %MEM    2021-11-12T12:35:35+01:00
 175802 3561.3m   3.4g  13.4m  93.8  21.6    2021-11-12T12:35:35+01:00
 175803 3716.6m   3.3g  13.4m  93.8  21.3    2021-11-12T12:35:35+01:00
 175804  392.9m 304.1m  13.7m 118.8   1.9    2021-11-12T12:35:35+01:00
 175730   22.3g 172.2m  56.3m   0.0   1.1    2021-11-12T12:35:35+01:00
 175801  246.5m 162.3m  13.7m 125.0   1.0    2021-11-12T12:35:35+01:00

    PID    VIRT    RES    SHR  %CPU  %MEM    2021-11-12T12:36:06+01:00
 175802 3999.4m   3.5g  13.6m 100.0  22.5    2021-11-12T12:36:06+01:00
 175803 3873.8m   3.4g  13.6m 112.5  21.8    2021-11-12T12:36:06+01:00
 175804  455.4m 337.4m  13.7m 118.8   2.1    2021-11-12T12:36:06+01:00
 175801  257.0m 175.1m  13.7m 137.5   1.1    2021-11-12T12:36:06+01:00
 175730   22.3g 172.2m  56.3m   0.0   1.1    2021-11-12T12:36:06+01:00

    PID    VIRT    RES    SHR  %CPU  %MEM    2021-11-12T12:36:36+01:00
 175802 3999.7m   3.5g  13.6m 120.0  22.5    2021-11-12T12:36:36+01:00
 175803 3873.8m   3.4g  13.6m 126.7  21.8    2021-11-12T12:36:36+01:00
 175804  426.9m 340.7m  13.7m 120.0   2.1    2021-11-12T12:36:36+01:00
 175801  297.7m 186.4m  13.7m 140.0   1.2    2021-11-12T12:36:36+01:00
 175730   22.3g 172.2m  56.3m   0.0   1.1    2021-11-12T12:36:36+01:00

    PID    VIRT    RES    SHR  %CPU  %MEM    2021-11-12T12:37:06+01:00
 175802 4000.0m   3.5g  13.6m 100.0  22.5    2021-11-12T12:37:06+01:00
 175803 3874.1m   3.4g  13.6m 100.0  21.8    2021-11-12T12:37:06+01:00
 175804  467.1m 381.9m  13.7m 120.0   2.4    2021-11-12T12:37:06+01:00
 175801  307.5m 200.3m  13.7m 140.0   1.3    2021-11-12T12:37:06+01:00
 175730   22.3g 172.2m  56.3m   0.0   1.1    2021-11-12T12:37:06+01:00

    PID    VIRT    RES    SHR  %CPU  %MEM    2021-11-12T12:37:36+01:00
 175802 4685.3m   3.8g  13.6m 100.0  24.7    2021-11-12T12:37:36+01:00
 175803 3892.1m   3.4g  13.6m 106.7  21.9    2021-11-12T12:37:36+01:00
 175804  434.3m 350.7m  13.7m 120.0   2.2    2021-11-12T12:37:36+01:00
 175801  316.4m 213.3m  13.7m 146.7   1.3    2021-11-12T12:37:36+01:00
 175730   22.3g 172.2m  56.3m   0.0   1.1    2021-11-12T12:37:36+01:00

    PID    VIRT    RES    SHR  %CPU  %MEM    2021-11-12T12:38:06+01:00
 175802 4026.1m   3.5g  13.6m 100.0  22.7    2021-11-12T12:38:06+01:00
 175803 3984.1m   3.5g  13.6m 100.0  22.5    2021-11-12T12:38:06+01:00
 175804  511.7m 395.8m  13.7m 126.7   2.5    2021-11-12T12:38:06+01:00
 175801  331.6m 229.5m  13.7m 126.7   1.4    2021-11-12T12:38:06+01:00
 175730   22.3g 172.2m  56.3m   0.0   1.1    2021-11-12T12:38:06+01:00

    PID    VIRT    RES    SHR  %CPU  %MEM    2021-11-12T12:38:36+01:00
 175802 4134.7m   3.6g  13.6m 106.7  23.4    2021-11-12T12:38:36+01:00
 175803 3989.6m   3.5g  13.6m 100.0  22.5    2021-11-12T12:38:36+01:00
 175804  474.6m 360.8m  13.7m 133.3   2.3    2021-11-12T12:38:36+01:00
 175801  342.7m 244.0m  13.7m 126.7   1.5    2021-11-12T12:38:36+01:00
 175730   22.3g 172.2m  56.3m   0.0   1.1    2021-11-12T12:38:36+01:00

    PID    VIRT    RES    SHR  %CPU  %MEM    2021-11-12T12:39:06+01:00
 175802 4135.0m   3.6g  13.6m 106.7  23.4    2021-11-12T12:39:06+01:00
 175803 3999.1m   3.5g  13.6m 100.0  22.6    2021-11-12T12:39:06+01:00
